"co_filme","ano_lancamento","desc_filme","duracao","media_avaliacoes","no_filme","nome_diretor","id_genero"
1996,"Agente especial em missões perigosas",110,"8.2","Missão Impossível","Brian De Palma",1
2004,"Dois agentes do FBI se disfarçam de socialites",109,"7","As Branquelas","Keenen Ivory Wayans",2
1999,"Guarda penitenciário testemunha milagres",189,"9.1","À Espera de um Milagre","Frank Darabont",3
2013,"Investigadores lidam com forças sobrenaturais",112,"7.5","Invocação do Mal","James Wan",4
2014,"Viagem no espaço para salvar a humanidade",169,"8.6","Interestelar","Christopher Nolan",5
2005,"Romance na Inglaterra do século XIX",127,"7.8","Orgulho e Preconceito","Joe Wright",6
,"Brinquedos ganham vida quando ninguém está vendo",81,"8.3","Toy Story","John Lasseter",7
2001,"Um jovem descobre que é um bruxo",152,"7.6","Harry Potter e a Pedra Filosofal","Chris Columbus",8
2020,"Impacto das redes sociais na sociedade",94,"7.6","O Dilema das Redes","Jeff Orlowski",9
2014,"Mulher desaparece misteriosamente",149,"8.1","Garota Exemplar","David Fincher",10
2019,"Super-heróis se unem para salvar o universo",181,"8.4","Vingadores: Ultimato","Anthony Russo",1
2009,"Amigos enfrentam desventuras após despedida de solteiro",100,"7.7","Se Beber, Não Case!","Todd Phillips",2
1999,"Homem insatisfeito cria clube secreto de luta",139,"8.8","Clube da Luta","David Fincher",3
2017,"Jovem negro visita família da namorada e descobre segredo assustador",104,"7.7","Corra!","Jordan Peele",4
2017,"Caçador de replicantes descobre segredo perigoso",164,"8","Blade Runner 2049","Denis Villeneuve",5
2016,"Romance entre músico e atriz em Los Angeles",128,"8","La La Land","Damien Chazelle",6
2013,"Princesa luta para salvar seu reino com poderes congelantes",102,"7.4","Frozen","Chris Buck",7
,"Grupo parte para destruir anel do poder",,"8.8","O Senhor dos Anéis: A Sociedade do Anel","Peter Jackson",8
2006,"Exploração da biodiversidade da Terra",550,"9.4","Planeta Terra","Alastair Fothergill",9
2010,"Detetive investiga desaparecimento em hospital psiquiátrico",138,"8.2","Ilha do Medo","Martin Scorsese",10
2014,"Ex-assassino volta à ação para vingança",101,"7.4","John Wick","Chad Stahelski",1
2007,"Adolescentes enfrentam situações engraçadas antes da formatura",113,"7.6","Superbad","Greg Mottola",2
1972,"Família mafiosa luta pelo poder",175,"9.2","O Poderoso Chefão","Francis Ford Coppola",3
2017,"Crianças enfrentam entidade maligna na cidade",135,"7.3","It: A Coisa","Andy Muschietti",4
1999,"Homem descobre que vive em simulação digital",136,"8.7","Matrix","Lana Wachowski",5
2004,"Casal jovem enfrenta obstáculos pelo amor",123,"7.8","Diário de uma Paixão","Nick Cassavetes",6
2017,"Menino viaja ao mundo dos mortos para encontrar sua família",105,"8.4","Viva – A Vida é uma Festa","Lee Unkrich",7
,"Rei de Wakanda defende seu reino e o mundo",134,"7.3","Pantera Negra","Ryan Coogler",8
2005,"Pinguins enfrentam desafios para reprodução",80,"7.5","Marcha dos Pinguins","Luc Jacquet",9
1991,"Agente do FBI busca ajuda de serial killer para prender criminoso",118,"8.6","O Silêncio dos Inocentes","Jonathan Demme",10
2015,"Luta pela sobrevivência em mundo pós-apocalíptico",120,"8.1","Mad Max: Estrada da Fúria","George Miller",1
1998,"Homem relaxado se envolve em confusão de identidade",117,"8.1","O Grande Lebowski","Joel Coen",2
1994,"Homem simples vive momentos históricos dos EUA",142,"8.8","Forrest Gump","Robert Zemeckis",3
1973,"Menina possuída por demônio",122,"8","O Exorcista","William Friedkin",4
2014,"Homem testa inteligência artificial avançada",108,"7.7","Ex Machina","Alex Garland",5
1997,"Romance trágico no navio que afundou",195,"7.8","Titanic","James Cameron",6
,"Coelha policial investiga conspiração em cidade animal",108,"8","Zootopia","Byron Howard",7
1996,"Homem enfrenta dragão para salvar reino",102,"6.7","Coração de Dragão","Rob Cohen",8
2004,"Homem se alimenta só de fast food por 30 dias",100,"7.2","Supersize Me","Morgan Spurlock",9
1995,"Detetives caçam serial killer baseado nos pecados capitais",127,"8.6","Seven – Os Sete Crimes Capitais","David Fincher",10
2000,"General romano busca vingança",,"8.5","Gladiador","Ridley Scott",1
2011,"Equipe enfrenta ameaças globais",133,"7.4","Missão: Impossível – Protocolo Fantasma","Brad Bird",1
2005,"Homem tenta perder a virgindade aos 40 anos",117,"7.1","O Virgem de 40 Anos","Judd Apatow",2
2016,"Anti-herói irreverente luta contra vilões",108,"8","Deadpool","Tim Miller",2
1993,"Homem salva judeus durante a Segunda Guerra",195,"8.9","A Lista de Schindler","Steven Spielberg",3
2010,"Bailarina luta com seu lado sombrio",,"8","Cisne Negro","Darren Aronofsky",3
1978,"Assassino retorna para aterrorizar cidade",91,"7.8","Halloween","John Carpenter",4
2007,"Casal documenta fenômenos sobrenaturais",86,"6.3","Atividade Paranormal","Oren Peli",4
2016,"Linguista tenta comunicar-se com alienígenas",116,"7.9","A Chegada","Denis Villeneuve",5
2013,"Astronautas lutam para sobreviver no espaço",91,"7.7","Gravidade","Alfonso Cuarón",5
2016,"Romance entre jovem e homem tetraplégico",110,"7.4","Como Eu Era Antes de Você","Thea Sharrock",6
1995,"Casal se conhece em trem e passa noite juntos",101,"8.1","Antes do Amanhecer","Richard Linklater",6
2010,"Vilão adota três meninas órfãs",95,"7.6","Meu Malvado Favorito","Chris Renaud",7
2003,"Peixe-palhaço procura seu filho perdido",,"8.1","Procurando Nemo","Andrew Stanton",7
2006,"Menina encontra mundo mágico durante guerra civil",,"8.2","O Labirinto do Fauno","Guillermo del Toro",8
2005,"Crianças entram em mundo mágico para lutar contra mal",138,"6.9","As Crônicas de Nárnia","Andrew Adamson",8
2013,"Investigação sobre tratamento de orcas em cativeiro",83,"8.1","Blackfish","Gabriela Cowperthwaite",9
2002,"Análise da violência armada nos EUA",120,"8","Bowling for Columbine","Michael Moore",9
2010,"Bailarina em busca da perfeição enfrenta seus demônios",108,"8","Cisne Negro","Darren Aronofsky",10
1995,"Investigações sobre desaparecimento misterioso",106,"8.5","Os Suspeitos","Bryan Singer",10
2014,"Ex-assassino volta à ação para vingança",101,"7.4","John Wick","Chad Stahelski",1
2015,"Fugindo de tiranos em mundo pós-apocalíptico",120,"8.1","Mad Max: Estrada da Fúria","George Miller",1
2000,"Paródia dos filmes de terror",88,"6.2","Todo Mundo em Pânico","Keenen Ivory Wayans",2
2007,"Adolescentes tentam curtir a festa antes da faculdade",113,"7.6","Superbad: É Hoje","Greg Mottola",2
2002,"Pianista judeu sobrevive ao Holocausto",150,"8.5","O Pianista","Roman Polanski",3
1994,"História de vida de homem simples e inspirador",,"8.8","Forrest Gump","Robert Zemeckis",3
1968,"Zumbis invadem casa isolada",96,"7.9","A Noite dos Mortos-Vivos","George A. Romero",4
2007,"Mulher busca criança desaparecida em orfanato",,"7.4","O Orfanato","J.A. Bayona",4
1999,"Homem descobre realidade virtual controlada por máquinas",136,"8.7","Matrix","The Wachowskis",5
2014,"Jovem testa inteligência artificial avançada",108,"7.7","Ex Machina","Alex Garland",5
1997,"Romance trágico no navio condenado",195,"7.8","Titanic","James Cameron",6
2004,"Amor duradouro em meio a obstáculos",123,"7.9","Diário de uma Paixão","Nick Cassavetes",6
2015,"Emoções de uma menina ganham vida",95,"8.1","Divertida Mente","Pete Docter",7
2017,"Garoto embarca em aventura no mundo dos mortos",105,"8.4","Coco","Lee Unkrich",7
2018,"Herói luta para proteger sua nação",134,"7.3","Pantera Negra","Ryan Coogler",8
2014,"História da vilã da Bela Adormecida",97,"7","Malévola","Robert Stromberg",8
2008,"Homem caminha sobre corda bamba entre torres",90,"7.9","Man on Wire","James Marsh",9
2004,"Experiência sobre alimentação fast food",100,"7.2","Supersize Me","Morgan Spurlock",9
1995,"Detetives caçam serial killer",127,"8.6","Seven: Os Sete Crimes Capitais","David Fincher",10
1991,"Jovem agente busca capturar assassino",118,"8.6","O Silêncio dos Inocentes","Jonathan Demme",10
2012,"Heróis unem forças para salvar o mundo",143,"8","Os Vingadores","Joss Whedon",1
2010,"Vilão se torna pai de três meninas",95,"7.6","Meu Malvado Favorito","Pierre Coffin",2
2005,"Homem tenta perder a virgindade aos 40",113,"7.1","O Virgem de 40 Anos","Judd Apatow",2
1993,"Homem salva judeus durante a Segunda Guerra Mundial",195,"8.9","A Lista de Schindler","Steven Spielberg",3
1972,"Família mafiosa luta pelo controle do crime",175,"9.2","O Poderoso Chefão","Francis Ford Coppola",3
2007,"Casal grava fenômenos sobrenaturais em casa",86,"6.3","Atividade Paranormal","Oren Peli",4
2012,"Escritor investiga fenômenos assustadores",110,"6.8","A Entidade","Scott Derrickson",4
2014,"Grupo de desajustados salva a galáxia",121,"8","Guardians of the Galaxy","James Gunn",5
2010,"Roubo de segredos durante sonhos",148,"8.8","A Origem","Christopher Nolan",5
1995,"Casal se conhece em trem e passa noite juntos",101,"8.1","Antes do Amanhecer","Richard Linklater",6
2012,"Homem com transtorno bipolar tenta recomeçar",122,"7.7","O Lado Bom da Vida","David O. Russell",6
2009,"Velho aventureiro e garoto exploram mundo",96,"8.3","Up: Altas Aventuras","Pete Docter",7
2013,"Vilão continua a criar laços familiares",98,"7.4","Meu Malvado Favorito 2","Pierre Coffin",7
2010,"Menina entra em mundo mágico",108,"6.4","Alice no País das Maravilhas","Tim Burton",8
2005,"Crianças descobrem mundo mágico",138,"6.9","As Crônicas de Nárnia","Andrew Adamson",8
2013,"Documentário sobre orcas em cativeiro",83,"8.1","Blackfish","Gabriela Cowperthwaite",9
2017,"Continuação do sucesso documental",80,"6.7","Marcha dos Pinguins 2","Luc Jacquet",9
1997,"Homem envolvido em jogo psicológico perigoso",129,"7.7","O Jogo","David Fincher",10
2000,"Homem descobre que é invulnerável",106,"7.1","Corpo Fechado","M. Night Shyamalan",10
2010,"Detetive investiga desaparecimento em hospital psiquiátrico",138,"8.2","A Ilha do Medo","Martin Scorsese",10
2016,"Mulher se envolve em mistério após ver algo estranho no trem",112,"6.5","Garota no Trem","Tate Taylor",10
2006,"Rivais disputam o título de maior ilusionista",130,"8.5","O Grande Truque","Christopher Nolan",10
1988,"Policial enfrenta terroristas em arranha-céu",132,"8.2","Duro de Matar","John McTiernan",1
2018,"Diversas versões do Homem-Aranha se unem",117,"8.4","Homem-Aranha: No Aranhaverso","Bob Persichetti",1
2010,"Adolescente cria mentira para melhorar vida social",101,"6.4","A Mentira","Liesl Tommy",2
2000,"Policial com personalidade dupla causa confusão",116,"6.6","Eu, Eu Mesmo e Irene","The Farrelly Brothers",2
1999,"Homem busca sentido na vida e cria clube secreto",139,"8.8","Clube da Luta","David Fincher",3
2009,"Grupo caça nazistas na Segunda Guerra",153,"8.3","Bastardos Inglórios","Quentin Tarantino",3
1973,"Garota possuída é exorcizada",122,"8","O Exorcista","William Friedkin",4
2017,"Jovem negro visita família de namorada branca",104,"7.7","Corra!","Jordan Peele",4
2017,"Caçador de replicantes descobre segredo",164,"8","Blade Runner 2049","Denis Villeneuve",5
2013,"Astronautas lutam para sobreviver no espaço",91,"7.7","Gravidade","Alfonso Cuarón",5
2016,"História de amor entre músico e atriz",128,"8","La La Land","Damien Chazelle",6
2005,"Romance proibido entre dois cowboys",134,"7.7","O Segredo de Brokeback Mountain","Ang Lee",6
2013,"Irmãs enfrentam magia e perigos",102,"7.4","Frozen: Uma Aventura Congelante","Chris Buck",7
2016,"Coelha policial resolve mistério em cidade animal",108,"8","Zootopia","Byron Howard",7
2001,"Jornada para destruir anel maligno",178,"8.8","O Senhor dos Anéis: A Sociedade do Anel","Peter Jackson",8
2012,"Aventura para recuperar reino perdido",169,"7.8","O Hobbit: Uma Jornada Inesperada","Peter Jackson",8
2018,"Documentário sobre Fred Rogers",94,"8.4","Won’t You Be My Neighbor?","Morgan Neville",9
2016,"Análise sobre raça e justiça criminal nos EUA",100,"8.2","13th","Ava DuVernay",9
2006,"Professor decifra código de assassinato",149,"6.6","O Código Da Vinci","Ron Howard",10
2004,"Jogo mortal entre vítima e assassino",103,"7.6","Jogos Mortais","James Wan",10
2002,"Mulher e filha se trancam para fugir de ladrões",103,"6.8","O Quarto do Pânico","David Fincher",10
2016,"Homem com múltiplas personalidades sequestra jovens",117,"7.3","Fragmentado","M. Night Shyamalan",10
2021,"Mulher testemunha algo estranho em casa vizinha",101,"5.7","A Mulher na Janela","Joe Wright",10
2015,"Sobreviventes lutam em mundo pós-apocalíptico",120,"8.1","Mad Max: Estrada da Fúria","George Miller",1
2014,"Ex-assassino volta à ação para vingança",101,"7.4","John Wick","Chad Stahelski",1
2009,"Amigos enfrentam caos em despedida de solteiro",100,"7.7","Se Beber, Não Case!","Todd Phillips",2
2007,"Adolescentes tentam curtir última festa antes da faculdade",113,"7.6","Superbad: É Hoje","Greg Mottola",2
2002,"História real de sobrevivência durante guerra",150,"8.5","O Pianista","Roman Polanski",3
2010,"Fundação do Facebook e conflitos pessoais",120,"7.7","A Rede Social","David Fincher",3
2015,"Família enfrenta forças sombrias na Nova Inglaterra",92,"6.9","A Bruxa","Robert Eggers",4
2009,"Garota encontra mundo paralelo assustador",100,"7.7","Coraline","Henry Selick",4
1999,"Hacker descobre realidade simulada",136,"8.7","Matrix","The Wachowskis",5
2014,"Teste de inteligência artificial gera tensão",108,"7.7","Ex Machina","Alex Garland",5
2004,"Romance entre jovens apaixonados",123,"7.9","Diário de uma Paixão","Nick Cassavetes",6
1997,"Amor em meio ao naufrágio do navio",195,"7.8","Titanic","James Cameron",6
2009,"Viagem de um velho viúvo e um garoto explorador",96,"8.2","Up - Altas Aventuras","Pete Docter",7
2015,"Emoções personificadas em uma menina",95,"8.1","Divertida Mente","Pete Docter",7
2018,"Rei de Wakanda enfrenta ameaças ao reino",134,"7.3","Pantera Negra","Ryan Coogler",8
2017,"Romance entre jovem e criatura encantada",129,"7.1","A Bela e a Fera","Bill Condon",8
2005,"Vida e migração dos pinguins na Antártica",80,"7.5","Marcha dos Pinguins","Luc Jacquet",9
2004,"Impacto da comida fast food na saúde",100,"7.3","Super Size Me","Morgan Spurlock",9
2010,"Detetive investiga desaparecimento em hospital psiquiátrico",138,"8.2","A Ilha do Medo","Martin Scorsese",10
2016,"Mulher se envolve em mistério após testemunhar algo",112,"6.5","Garota no Trem","Tate Taylor",10
2013,"Mistério após sequestro e investigação policial",126,"8.5","Os Suspeitos","Bryan Singer",10
2020,"Operadora enfrenta crise em chamadas de emergência",88,"6.4","Chamada de Emergência","Brad Anderson",10
2000,"Homem descobre habilidades especiais após acidente",106,"7.3","Corpo Fechado","M. Night Shyamalan",10
1988,"Policial enfrenta terroristas em arranha-céu",132,"8.2","Duro de Matar","John McTiernan",1
2006,"James Bond enfrenta vilão em jogo de poker",144,"8","007 - Cassino Royale","Martin Campbell",1
2000,"Paródia de filmes de terror e suspense",88,"6.2","Todo Mundo em Pânico","Keenen Ivory Wayans",2
2005,"Homem tenta perder a virgindade aos 40 anos",117,"7.1","O Virgem de 40 Anos","Judd Apatow",2
1979,"Satira sobre história de Jesus Cristo",94,"8.1","A Vida de Brian","Terry Jones",2
1999,"Homem insone cria grupo de luta clandestina",139,"8.8","Clube da Luta","David Fincher",3
2015,"Jornalistas investigam abusos na Igreja Católica",128,"8.1","Spotlight","Tom McCarthy",3
2013,"Homem negro luta por liberdade no século XIX",134,"8.1","12 Anos de Escravidão","Steve McQueen",3
1973,"Jovem possuída por demônio",122,"8","O Exorcista","William Friedkin",4
2018,"Família enfrenta segredos perturbadores",127,"7.3","Hereditário","Ari Aster",4
2017,"Caçador de replicantes busca respostas",164,"8","Blade Runner 2049","Denis Villeneuve",5
1968,"Viagem espacial e inteligência artificial",149,"8.3","2001: Uma Odisseia no Espaço","Stanley Kubrick",5
2016,"Amor entre músico e atriz em Los Angeles",128,"8","La La Land","Damien Chazelle",6
2016,"Romance improvável entre cuidadora e tetraplégico",110,"7.4","Me Before You","Thea Sharrock",6
2013,"Irmãs enfrentam poderes congelantes",102,"7.4","Frozen","Chris Buck & Jennifer Lee",7
2010,"Vilão adota três meninas e muda de vida",95,"7.6","Meu Malvado Favorito","Chris Renaud",7
2001,"Aventura para destruir anel maligno",178,"8.8","Senhor dos Anéis: A Sociedade do Anel","Peter Jackson",8
2006,"Garota encontra mundo mágico durante guerra",118,"8.2","O Labirinto do Fauno","Guillermo del Toro",8
2013,"Documentário sobre orcas em cativeiro",83,"8.1","Blackfish","",9
2002,"Violência armada nos EUA",120,"7.6","Bowling for Columbine","Michael Moore",9
2006,"Policial infiltrado enfrenta máfia",151,"8.5","Os Infiltrados","Martin Scorsese",10
2013,"Pai busca filha desaparecida",153,"","Prisioneiros","",10
2007,"Caça a serial killer nos anos 70",157,"7.7","Zodíaco","David Fincher",10
1995,"Detetives caçam serial killer baseado nos pecados",127,"8.6","Seven: Os Sete Crimes Capitais","David Fincher",10
2010,"Detetive investiga hospital psiquiátrico",138,"8.2","Ilha do Medo","Martin Scorsese",10
2015,"Luta por sobrevivência em mundo pós-apocalíptico",120,"8.1","Mad Max: Estrada da Fúria","George Miller",1
2014,"Ex-assassino volta à ação para vingança",101,"7.4","John Wick","Chad Stahelski",1
2010,"Adolescente vira super-herói sem poderes",117,"7.6","Kick-Ass","Matthew Vaughn",1
2007,"Amigos tentam aproveitar a última festa do colégio",113,"7.6","Superbad","Greg Mottola",2
1980,"Comédia pastelão sobre aviação",88,"7.7","Apertem os Cintos... O Piloto Sumiu","",2
1994,"Homem encontra máscara que dá poderes",101,"6.9","O Máskara","Chuck Russell",2
1972,"Saga da família mafiosa Corleone",175,"9.2","O Poderoso Chefão","Francis Ford Coppola",3
1993,"Homem salva judeus durante o Holocausto",195,"8.9","A Lista de Schindler","Steven Spielberg",3
2002,"História real de músico polonês na Segunda Guerra",150,"8.5","O Pianista","Roman Polanski",3
2007,"Casal documenta eventos sobrenaturais em casa",86,"6.3","Atividade Paranormal","Oren Peli",4
1980,"Homem enlouquece em hotel isolado",146,"8.4","O Iluminado","Stanley Kubrick",4
2017,"Jovem negro visita família de namorada com segredos",104,"7.7","Corra!","Jordan Peele",4
1999,"Homem descobre que realidade é uma simulação",136,"8.7","Matrix","The Wachowskis",5
2014,"Teste de inteligência artificial em robô avançado",108,"7.7","Ex Machina","Alex Garland",5
2004,"História de amor que supera o tempo",124,"7.9","Diário de uma Paixão","Nick Cassavetes",6
2014,"Amizade que vira amor",101,"7.1","Simplesmente Acontece","Christian Ditter",6
2015,"Emoções ganham vida na mente de garota",95,"8.1","Divertida Mente","Pete Docter",7
2003,"Peixe busca seu filho perdido",100,"8.1","Procurando Nemo","Andrew Stanton",7
2018,"Rei de Wakanda luta para proteger seu povo",134,"7.3","Pantera Negra","Ryan Coogler",8
2007,"Jovem busca estrela caída no reino mágico",127,"7.6","Stardust: O Mistério da Estrela","Matthew Vaughn",8
2018,"Biografia de Fred Rogers",94,"8.4","Wont You Be My Neighbor?","Morgan Neville",9
2011,"História do mestre de sushi Jiro Ono",81,"7.9","Jiro Dreams of Sushi","David Gelb",9
2010,"Homem invade sonhos para plantar ideias",148,"8.8","A Origem","Christopher Nolan",10
2010,"Bailarina busca perfeição com consequências",108,"8","Cisne Negro","Darren Aronofsky",10
2016,"Mulher se envolve em mistério de desaparecimento",112,"6.5","Garota no Trem","Tate Taylor",10
2016,"Homem com múltiplas personalidades sequestra garotas",117,"7.3","Fragmentado","",10
1995,"Investigação de sequestro e mistério",106,"8.5","Os Suspeitos","Bryan Singer",10
2002,"Harry volta ao Segundo Ano em Hogwarts",165,"8.7","Harry Potter e a Camara Secreta ","",8
